State Identifier,First Name,Last Name,Date Of Birth,Case Number,Arrest Charge,Arraignment Date,Arrest Date,Court Appearance Date,Court Appearance Judge,Court Appearance Status,Court Appearance Attended Date
12345678A,John,Smith,4/20/1986,2020AB123456,120.05 PL,9/2/2020,9/1/2020,9/24/2020,Judge A,Scheduled
12345678A,John,Smith,4/20/1986,2020AB123457,130.35 PL,9/6/2020,9/5/2020,9/28/2020,Judge A,Scheduled
12345678A,John,Smith,4/20/1986,2020AB123457,130.35 PL,9/6/2020,9/5/2020,10/5/2020,Judge B,Scheduled
12345678B,Kevin,Smith,3/21/1980,2020EF123456,155.20 PL,9/4/2020,9/3/2020,9/26/2020,Judge C,Scheduled
12345678B,Kevin,Smith,3/21/1980,2020EF123456,155.20 PL,9/4/2020,9/3/2020,9/27/2020,Judge C,Scheduled
12345678C,Kevin,Doe,4/2/1983,2020GH123456,120.05 PL,9/5/2020,9/4/2020,9/15/2020,Judge D,Attended,9/15/2020
12345678C,Kevin,Doe,4/2/1983,2020GH123457,145.23 PL,9/5/2020,9/4/2020,9/15/2020,Judge D,Attended,9/15/2020
34512789A,John,Doe,7/12/1970,2020CD123456,145.23 PL,9/3/2020,9/2/2020,9/21/2020,Judge B,Attended
34512789A,John,Doe,7/12/1970,2020CD123456,145.23 PL,9/3/2020,9/2/2020,10/1/2020,Judge B,Scheduled
34512789B,Adam,Nick,5/12/1985,2020AB128901,155.20 PL,9/7/2020,9/6/2020,9/29/2020,Judge A,Scheduled

